Kod stacji,Nazwa stacji,Rok,Miesiac,Dzien,Godzina,Temperatura powietrza,Status pomiaru TEMP,Temperatura termometru zwilzonego,Status pomiaru TTZW,Wskaznik lodu [L/W],Wskaznik wentylacji [W/N],Wilgotnosc wzgledna,Status pomiaru WLGW,Kod kierunku wiatru [kod],Status pomiaru DKDK,Predkosc wiatru [m/s],Status pomiaru FWR,Zachmurzenie ogolne,Status pomiaru ZOGK,Widzialnosc [kod],Status pomiaru WID
250220120,JAROCIN,2015,2,15,18,-1.0,,0.0,8.0,,W,0,8.0,  E,,1,,8,,4,
250220120,JAROCIN,2015,2,16,6,-1.1,,0.0,8.0,,W,0,8.0,ESE,,4,,8,,6,
250220120,JAROCIN,2015,2,16,12,0.7,,0.0,8.0,,W,0,8.0,ESE,,6,,1,,6,
250220120,JAROCIN,2015,2,16,18,-2.8,,0.0,8.0,,W,0,8.0,  E,,4,,1,,6,
250220120,JAROCIN,2015,2,17,6,-7.3,,0.0,8.0,L,W,0,8.0,ESE,,5,,1,,6,
250220120,JAROCIN,2015,2,17,12,0.9,,0.0,8.0,,W,0,8.0,ESE,,5,,1,,6,
250220120,JAROCIN,2015,2,17,18,-2.5,,0.0,8.0,,W,0,8.0, SE,,3,,1,,6,
250220120,JAROCIN,2015,2,18,6,-9.7,,0.0,8.0,L,W,0,8.0, SE,,1,,1,,6,
250220120,JAROCIN,2015,2,18,12,4.6,,0.0,8.0,,W,0,8.0,  W,,4,,1,,6,
250220120,JAROCIN,2015,2,18,18,1.9,,0.0,8.0,,W,0,8.0,  W,,3,,1,,6,
250220120,JAROCIN,2015,2,19,6,-0.5,,0.0,8.0,,W,0,8.0,WSW,,3,,8,,4,
250220120,JAROCIN,2015,2,19,12,3.8,,0.0,8.0,,W,0,8.0,  W,,4,,8,,6,
250220120,JAROCIN,2015,2,19,18,2.8,,0.0,8.0,,W,0,8.0,WSW,,3,,8,,6,
250220120,JAROCIN,2015,2,20,6,1.8,,0.0,8.0,,W,0,8.0,  C,,0,,8,,6,
250220120,JAROCIN,2015,2,20,12,9.4,,0.0,8.0,W,W,0,8.0,SSW,,4,,3,,6,
250220120,JAROCIN,2015,2,20,18,2.8,,0.0,8.0,,W,0,8.0,SSW,,3,,1,,6,
250220120,JAROCIN,2015,2,21,6,0.4,,0.0,8.0,,W,0,8.0, SE,,2,,8,,6,
250220120,JAROCIN,2015,2,21,12,6.7,,0.0,8.0,,W,0,8.0,  S,,6,,8,,6,
250220120,JAROCIN,2015,2,21,18,5.9,,0.0,8.0,,W,0,8.0,  S,,5,,1,,6,
250220120,JAROCIN,2015,2,22,6,-3.4,,0.0,8.0,,W,0,8.0,  C,,0,,1,,5,
250220120,JAROCIN,2015,2,22,12,11.5,,0.0,8.0,W,W,0,8.0,  S,,3,,3,,6,
250220120,JAROCIN,2015,2,22,18,1.9,,0.0,8.0,,W,0,8.0,  C,,0,,1,,6,
250220120,JAROCIN,2015,2,23,6,-0.3,,0.0,8.0,,W,0,8.0,  C,,0,,1,,5,
250220120,JAROCIN,2015,2,23,12,11.3,,0.0,8.0,W,W,0,8.0,  S,,3,,1,,6,
250220120,JAROCIN,2015,2,23,18,7.1,,0.0,8.0,,W,0,8.0, SE,,3,,1,,6,
250220120,JAROCIN,2015,2,24,6,4.4,,0.0,8.0,,W,0,8.0,  C,,0,,8,,5,
250220120,JAROCIN,2015,2,24,12,9.9,,0.0,8.0,W,W,0,8.0, NW,,2,,8,,6,
250220120,JAROCIN,2015,2,24,18,6.9,,0.0,8.0,,W,0,8.0,ENE,,1,,8,,6,
250220120,JAROCIN,2015,2,25,6,4.4,,0.0,8.0,,W,0,8.0,  C,,0,,8,,5,
250220120,JAROCIN,2015,2,25,12,6.0,,0.0,8.0,,W,0,8.0,  N,,2,,8,,5,
250220120,JAROCIN,2015,2,25,18,5.8,,0.0,8.0,,W,0,8.0,NNE,,2,,8,,5,
250220120,JAROCIN,2015,2,26,6,4.1,,0.0,8.0,,W,0,8.0,  C,,0,,8,,4,
250220120,JAROCIN,2015,2,26,12,6.6,,0.0,8.0,,W,0,8.0, NE,,2,,8,,6,
250220120,JAROCIN,2015,2,26,18,5.2,,0.0,8.0,,W,0,8.0,  N,,1,,8,,4,
250220120,JAROCIN,2015,2,27,6,2.6,,0.0,8.0,,W,0,8.0,  C,,0,,8,,3,
250220120,JAROCIN,2015,2,27,12,6.6,,0.0,8.0,,W,0,8.0,SSE,,1,,8,,6,
250220120,JAROCIN,2015,2,27,18,5.2,,0.0,8.0,,W,0,8.0,  C,,0,,8,,4,
250220120,JAROCIN,2015,2,28,6,-2.0,,0.0,8.0,,W,0,8.0,  C,,0,,8,,3,
250220120,JAROCIN,2015,2,28,12,9.2,,0.0,8.0,W,W,0,8.0, NW,,1,,8,,6,
250220120,JAROCIN,2015,2,28,18,5.2,,0.0,8.0,,W,0,8.0,  C,,0,,8,,5,
250220120,JAROCIN,2015,3,1,6,3.0,,0.0,8.0,,W,0,8.0,ENE,,1,,8,,4,
250220120,JAROCIN,2015,3,1,12,8.3,,0.0,8.0,W,W,0,8.0, SE,,2,,6,,6,
250220120,JAROCIN,2015,3,1,18,4.2,,0.0,8.0,,W,0,8.0,SSE,,2,,1,,6,
250220120,JAROCIN,2015,3,2,6,3.6,,0.0,8.0,,W,0,8.0,SSW,,3,,1,,4,
250220120,JAROCIN,2015,3,2,12,7.1,,0.0,8.0,,W,0,8.0,SSW,,5,,8,,6,
250220120,JAROCIN,2015,3,2,18,3.8,,0.0,8.0,,W,0,8.0,  W,,1,,8,,4,
250220120,JAROCIN,2015,3,3,6,-0.9,,0.0,8.0,,W,0,8.0,WSW,,2,,1,,4,
250220120,JAROCIN,2015,3,3,12,3.8,,0.0,8.0,,W,0,8.0,  W,,5,,8,,6,
250220120,JAROCIN,2015,3,3,18,1.3,,0.0,8.0,,W,0,8.0,  W,,4,,8,,4,
250220120,JAROCIN,2015,3,4,6,1.3,,0.0,8.0,,W,0,8.0,  S,,5,,8,,6,
250220120,JAROCIN,2015,3,4,12,1.1,,0.0,8.0,,W,0,8.0, SW,,4,,8,,4,
250220120,JAROCIN,2015,3,4,18,0.7,,0.0,8.0,,W,0,8.0, SW,,1,,6,,6,
250220120,JAROCIN,2015,3,5,6,-2.0,,0.0,8.0,,W,0,8.0,SSW,,1,,1,,4,
250220120,JAROCIN,2015,3,5,12,4.8,,0.0,8.0,,W,0,8.0, NW,,2,,3,,6,
250220120,JAROCIN,2015,3,5,18,0.5,,0.0,8.0,,W,0,8.0,  W,,1,,8,,4,
250220120,JAROCIN,2015,3,6,6,-1.7,,0.0,8.0,,W,0,8.0,  N,,2,,8,,4,
250220120,JAROCIN,2015,3,6,12,3.2,,0.0,8.0,,W,0,8.0,WSW,,3,,1,,6,
250220120,JAROCIN,2015,3,6,18,-0.5,,0.0,8.0,,W,0,8.0,WSW,,1,,1,,6,
250220120,JAROCIN,2015,3,7,6,-3.6,,0.0,8.0,,W,0,8.0, SE,,1,,8,,4,
250220120,JAROCIN,2015,3,7,12,6.9,,0.0,8.0,,W,0,8.0, SW,,3,,3,,6,
250220120,JAROCIN,2015,3,7,18,4.8,,0.0,8.0,,W,0,8.0,  S,,1,,8,,6,
250220120,JAROCIN,2015,3,8,6,-1.5,,0.0,8.0,,W,0,8.0,  C,,0,,1,,4,
250220120,JAROCIN,2015,3,8,12,11.8,,0.0,8.0,W,W,0,8.0,  S,,4,,1,,6,
250220120,JAROCIN,2015,3,8,18,5.6,,0.0,8.0,,W,0,8.0,  C,,0,,1,,6,
250220120,JAROCIN,2015,3,9,6,0.4,,0.0,8.0,,W,0,8.0,  C,,0,,1,,6,
250220120,JAROCIN,2015,3,9,12,13.4,,0.0,8.0,W,W,0,8.0, SW,,2,,1,,6,
250220120,JAROCIN,2015,3,9,18,3.9,,0.0,8.0,,W,0,8.0,  C,,0,,1,,6,
250220120,JAROCIN,2015,3,10,6,-3.6,,0.0,8.0,,W,0,8.0,  C,,0,,1,,4,
250220120,JAROCIN,2015,3,10,12,13.9,,0.0,8.0,W,W,0,8.0, SW,,1,,1,,6,
250220120,JAROCIN,2015,3,10,18,3.0,,0.0,8.0,,W,0,8.0,  C,,0,,1,,6,
250220120,JAROCIN,2015,3,11,6,-3.8,,0.0,8.0,,W,0,8.0,  C,,0,,8,,4,
250220120,JAROCIN,2015,3,11,12,11.7,,0.0,8.0,W,W,0,8.0,NNW,,3,,6,,6,
250220120,JAROCIN,2015,3,11,18,7.2,,0.0,8.0,,W,0,8.0,NNW,,4,,8,,6,
